pulseheight,counts_ch_A,counts_ch_B
1.9607843137254901,0,0
5.88235294117647,0,0
9.80392156862745,0,0
13.72549019607843,0,0
17.64705882352941,1,0
21.56862745098039,1,0
25.49019607843137,3,0
29.41176470588235,1,0
33.33333333333333,1,0
37.25490196078431,3,0
41.17647058823529,4,0
45.09803921568627,5,0
49.01960784313725,8,0
52.94117647058823,11,0
56.86274509803921,17,0
60.78431372549019,17,0
64.70588235294117,7,0
68.62745098039215,23,0
72.54901960784312,17,0
76.47058823529412,12,0
80.39215686274508,12,0
84.31372549019608,6,0
88.23529411764704,14,0
92.15686274509804,16,0
96.078431372549,16,0
100.0,16,0
103.92156862745097,26,0
107.84313725490196,26,0
111.76470588235293,29,0
115.68627450980392,40,0
119.60784313725489,46,0
123.52941176470588,42,0
127.45098039215685,36,0
131.37254901960785,35,0
135.2941176470588,33,0
139.21568627450978,34,0
143.13725490196077,24,0
147.05882352941177,15,0
150.98039215686273,17,0
154.9019607843137,20,0
158.8235294117647,26,0
162.7450980392157,14,0
166.66666666666666,16,0
170.58823529411762,11,0
174.50980392156862,20,0
178.4313725490196,14,0
182.35294117647058,19,0
186.27450980392155,11,0
190.19607843137254,19,0
194.11764705882354,22,0
198.0392156862745,23,0
201.96078431372547,37,0
205.88235294117646,39,0
209.80392156862746,69,0
213.72549019607843,93,0
217.6470588235294,115,0
221.5686274509804,140,0
225.49019607843138,155,0
229.41176470588235,193,0
233.33333333333331,187,0
237.2549019607843,227,0
241.1764705882353,245,0
245.09803921568627,237,0
249.01960784313724,261,0
252.94117647058823,222,0
256.8627450980392,218,0
260.78431372549016,176,0
264.70588235294116,161,0
268.62745098039215,138,0
272.5490196078431,102,0
276.47058823529414,90,0
280.3921568627451,93,0
284.313725490196,78,0
288.2352941176471,63,0
292.156862745098,39,0
296.078431372549,30,0
300.0,27,0
303.92156862745094,27,0
307.843137254902,12,0
311.7647058823529,20,0
315.68627450980387,10,0
319.6078431372549,3,0
323.52941176470586,6,0
327.45098039215685,4,0
331.37254901960785,4,0
335.2941176470588,2,0
339.21568627450984,0,0
343.1372549019608,0,0
347.0588235294117,0,0
350.98039215686276,2,0
354.9019607843137,1,0
358.8235294117647,2,0
362.7450980392157,1,0
366.66666666666663,2,0
370.5882352941177,0,0
374.5098039215686,0,0
378.43137254901956,1,0
382.3529411764706,0,0
386.27450980392155,1,0
390.1960784313725,0,0
394.11764705882354,0,0
398.0392156862745,0,0
401.96078431372547,0,0
405.88235294117646,0,0
409.8039215686274,1,0
413.72549019607845,0,0
417.6470588235294,0,0
421.56862745098033,0,0
425.4901960784314,0,0
429.4117647058823,0,0
433.3333333333333,0,0
437.2549019607843,1,0
441.17647058823525,0,0
445.0980392156863,0,0
449.01960784313724,0,0
452.9411764705882,0,0
456.8627450980392,1,0
460.78431372549016,0,0
464.70588235294116,0,0
468.62745098039215,0,0
472.5490196078431,0,0
476.47058823529414,0,0
480.3921568627451,0,0
484.313725490196,0,0
488.2352941176471,2,0
492.156862745098,0,0
496.078431372549,0,0
500.0,0,0
503.92156862745094,0,0
507.84313725490193,0,0
511.7647058823529,1,0
515.686274509804,0,0
519.6078431372548,0,0
523.5294117647059,0,0
527.4509803921569,0,0
531.3725490196077,0,0
535.2941176470588,0,0
539.2156862745098,0,0
543.1372549019608,0,0
547.0588235294117,0,0
550.9803921568628,0,0
554.9019607843137,0,0
558.8235294117646,0,0
562.7450980392157,0,0
566.6666666666666,0,0
570.5882352941176,0,0
574.5098039215686,0,0
578.4313725490197,0,0
582.3529411764705,0,0
586.2745098039215,0,0
590.1960784313726,0,0
594.1176470588234,0,0
598.0392156862745,0,0
601.9607843137255,0,0
605.8823529411765,0,0
609.8039215686274,1,0
613.7254901960785,0,0
617.6470588235294,0,0
621.5686274509803,0,0
625.4901960784314,0,0
629.4117647058823,0,0
633.3333333333333,0,0
637.2549019607843,0,0
641.1764705882352,0,0
645.0980392156862,0,0
649.0196078431372,0,0
652.9411764705883,0,0
656.8627450980391,0,0
660.7843137254902,0,0
664.7058823529412,0,0
668.627450980392,0,0
672.5490196078431,0,0
676.4705882352941,0,0
680.3921568627451,0,0
684.313725490196,0,0
688.2352941176471,0,0
692.156862745098,0,0
696.078431372549,0,0
700.0,1,0
703.9215686274509,0,0
707.8431372549019,0,0
711.7647058823529,0,0
715.686274509804,0,0
719.6078431372548,0,0
723.5294117647059,0,0
727.4509803921569,0,0
731.3725490196077,0,0
735.2941176470588,0,0
739.2156862745098,0,0
743.1372549019608,0,0
747.0588235294117,0,0
750.9803921568628,1,0
754.9019607843137,1,0
758.8235294117646,0,0
762.7450980392157,0,0
766.6666666666666,0,0
770.5882352941176,0,0
774.5098039215686,0,0
778.4313725490196,0,0
782.3529411764705,0,0
786.2745098039215,0,0
790.1960784313726,0,0
794.1176470588234,0,0
798.0392156862745,0,0
801.9607843137255,0,0
805.8823529411764,0,0
809.8039215686274,0,0
813.7254901960785,0,0
817.6470588235294,0,0
821.5686274509803,0,0
825.4901960784314,0,0
829.4117647058823,0,0
833.3333333333333,0,0
837.2549019607843,0,0
841.1764705882352,0,0
845.0980392156862,0,0
849.0196078431372,0,0
852.9411764705883,0,0
856.8627450980391,0,0
860.7843137254902,0,0
864.7058823529412,0,0
868.627450980392,0,0
872.5490196078431,0,0
876.4705882352941,0,0
880.392156862745,0,0
884.313725490196,0,0
888.2352941176471,0,0
892.156862745098,0,0
896.078431372549,0,0
900.0,0,0
903.9215686274509,0,0
907.8431372549019,0,0
911.7647058823529,0,0
915.6862745098039,0,0
919.6078431372548,0,0
923.5294117647059,0,0
927.4509803921569,0,0
931.3725490196077,0,0
935.2941176470588,0,0
939.2156862745098,0,0
943.1372549019607,0,0
947.0588235294117,0,0
950.9803921568628,0,0
954.9019607843137,0,0
958.8235294117646,0,0
962.7450980392157,1,0
966.6666666666666,0,0
970.5882352941176,0,0
974.5098039215686,0,0
978.4313725490196,1,0
982.3529411764705,0,0
986.2745098039215,0,0
990.1960784313726,0,0
994.1176470588234,0,0
998.0392156862745,0,0
